"region";"sppName";"latinName";"RFMO";"RFMO_Stock_ID";"FIDES_stockID";"area";"areaBis";"TAC.area.description";"Comments";"reportingName";"latinName_old";"FIDES_stockID_old"
"Mediterranean and Black Sea";"Black-bellied angler";"Lophius budegassa";"GFCM";NA;"No TAC";"1.1, 1.2, 1.3, 2.2, 3.1";"1.1, 1.2, 1.3, 2.2, 3.1";"";"";"Lophius budegassa";"Lophius budegassa";"No TAC"
"North Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"ANF2AC4-C,ANF56-14";"IV, VI";"27_4,27_6";"";"";"Lophius piscatorius";"Lophius piscatorius";"ANF2AC4-C,ANF56-14"
"North Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"ANF8C3411";"VIIIc, IXa";"27_8_C,27_9_A";"";"";"Lophius piscatorius";"Lophius piscatorius";"ANF8C3411"
"Mediterranean and Black Sea";"Anglerfish";"Lophius piscatorius";"GFCM";NA;"No TAC";"1.1, 1.2, 1.3, 2.2, 3.1";"1.1, 1.2, 1.3, 2.2, 3.1";"";"";"Lophius piscatorius";"Lophius piscatorius";"No TAC"
"North Atlantic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"ANF07.,ANF8ABDE";"VIIb-k, VIIIabd";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D";"";"";"Lophius piscatorius";"Lophius piscatorius";"ANF07.,ANF8ABDE"
"North Sea and Eastern Arctic";"Anglerfish";"Lophius piscatorius";"ICES";NA;"ANF04-N.,ANF2AC4-C";"IV";"27_4";"";"";"Lophius piscatorius";"Lophius piscatorius";"ANF2AC4-C"
"Other regions";"Snappers";"Lutjanidae";"WECAFC";NA;"No TAC";"Guadeloupe and Martinique";"31";"";"";"Lutjanidae";"Lutjanidae";"No TAC"
"Other regions";"Snappers";"Lutjanidae";"SIOFA";NA;"No TAC";"Runion et Mayotte";"";"";"";"Lutjanidae";"Lutjanidae";"No TAC"
"Other regions";"Blackfin snapper";"Lutjanus buccanella";"WECAFC";NA;"No TAC";"West Central Atlantic";"31";"";"";"Lutjanus buccanella";"Lutjanus buccanella";"No TAC"
"Other regions";"Red snapper";"Lutjanus campechanus";"WECAFC";NA;"No TAC";"West Central Atlantic";"31";"";"";"Lutjanus campechanus";"Lutjanus campechanus";"No TAC"
"Other regions";"Houndsharks, smoothhounds nei";"Lutjanus purpureus";"WECAFC";NA;"No TAC";"French Guyana";"31";"";"";"Lutjanus purpureus";"Lutjanus purpureus";"No TAC"
"Other regions";"Silk snapper";"Lutjanus vivanus";"WECAFC";NA;"No TAC";"West Central Atlantic";"31";"";"";"Lutjanus vivanus";"Lutjanus vivanus";"No TAC"
"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";NA;"RHG124-";"IV";"27_4";"EU and international waters of I-II and IV";"";"Macrourus berglax";"Macrourus berglax";"RHG124-"
"Other regions";"Roughhead grenadier";"Macrourus berglax";"NAFO SA2 + 3";NA;"";"21";"";"";"";"Macrourus berglax";"Macrourus berglax";""
"Other regions";"Grenadiers";"Macrourus spp";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Macrourus spp";"Macrourus spp";"No TAC"
"North Atlantic";"Spider crab";"Maja squinado";"ICES";NA;"No TAC";"V, VI, VII";"27_5,27_6,27_7";"";"";"Maja squinado";"Maja squinado";"No TAC"
"Other regions";"Black marlin";"Makaira indica";"IATTC";NA;"No TAC";"East Pacific Ocean";"";"";"";"Makaira indica";"Makaira indica";"No TAC"
"Other regions";"Black marlin";"Makaira indica";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Makaira indica";"Makaira indica";"No TAC"
"Other regions";"Black marlin";"Makaira indica";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Makaira indica";"Makaira indica";"No TAC"
"Other regions";"Blue marlin";"Makaira nigricans (or mazara)";"IATTC";NA;"No TAC";"East Pacific Ocean";"77,87";"";"";"Makaira nigricans (or mazara)";"Makaira nigricans (or mazara)";"No TAC"
"Other regions";"Blue marlin";"Makaira nigricans (or mazara)";"ICCAT";NA;"BUMATLANT";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Makaira nigricans (or mazara)";"Makaira nigricans (or mazara)";"BUMATLANT"
"Other regions";"Blue marlin";"Makaira nigricans (or mazara)";"IOTC";NA;"No TAC";"Indian Ocean Western and Eastern";"51,57";"";"";"Makaira nigricans (or mazara)";"Makaira nigricans (or mazara)";"No TAC"
"Other regions";"Blue marlin";"Makaira nigricans (or mazara)";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Makaira nigricans (or mazara)";"Makaira nigricans (or mazara)";"No TAC"
"North Sea and Eastern Arctic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP02B.";"I-II";"27_1,27_2";"ICES division IIb - Spitzbergen and Bear Island";"";"Mallotus villosus";"Mallotus villosus";"CAP02B."
"North Atlantic";"Capelin";"Mallotus villosus";"ICES";NA;"CAP514GRN";"XIV";"27_14";"Greenland zone: V & XIV";"";"Mallotus villosus";"Mallotus villosus";"CAP514GRN"
"Other regions";"Capelin";"Mallotus villosus";"NAFO 3NO";NA;"";"21";"";"";"";"Mallotus villosus";"Mallotus villosus";""
"North Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD6B1214";"Vib";"27_6_B";"Ec and international waters of Vib),  XII and XIV";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD6B1214"
"North Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD07A.";"VIIa";"27_7_A";"ICES division VIIa - Irish Sea";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD07A."
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD2AC4.,HAD04-N.";"IV";"27_4";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel, ICES division VIId - Eastern Channel   that part of IIIa not covered by the Skagerrak and the Kattegat";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD2AC4."
"North Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"No TAC";"Va";"27_5_A";"";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"No TAC"
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD1N2AB.";"I-II";"27_1,27_2";"I-II (Norwegian waters)";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD1N2AB."
"North Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD5BC6A.";"VIa";"27_6_A";"Vb) (1),  VIa). ";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD5BC6A."
"North Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD05B-F.";"Vb";"27_5_B";"Faroe zone: Vb)";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD05B-F."
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD3A/BCD,HAD03A.";"IIIa";"27_3_A";"IIIa) and EU waters of IIIbcd";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD3A/BCD"
"North Atlantic";"Haddock";"Melanogrammus aeglefinus";"ICES";NA;"HAD7X7A34";"VIIb-k";"27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"VIIbcdefghjk, VII, IX, X, EC waters of CECAF 34.1.1";"";"Melanogrammus aeglefinus";"Melanogrammus aeglefinus";"HAD7X7A34"
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG56-14";"Vib";"27_6_B";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG56-14"
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG56-14";"VIa";"27_6_A";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG56-14"
"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG03A.";"IIIa";"27_3_A";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG03A."
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG9/3411";"IX, X";"27_9,27_10";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG9/3411"
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG56-14";"Vb";"27_5_B";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG56-14"
"Mediterranean and Black Sea";"Whiting";"Merlangius merlangus";"GFCM";NA;"No TAC";"Black Sea GSA 29";"Black Sea GSA 29";"";"";"Merlangius merlangus";"Merlangius merlangus";"No TAC"
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG7X7A-C";"VIIe-k";"27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG7X7A-C"
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG07A.";"VIIa";"27_7_A";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG07A."
"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG2AC4.,WHG04-N.";"IV, VIId";"27_4,27_7_D";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG2AC4."
"North Atlantic";"Whiting";"Merlangius merlangus";"ICES";NA;"WHG08.";"VIII";"27_8";"";"";"Merlangius merlangus";"Merlangius merlangus";"WHG08."
"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE3A/BCD,HKE03A.";"IIIa";"27_3_A";"IIIa) and EU waters of IIIbcd";"";"Merluccius merluccius";"Merluccius merluccius";"HKE3A/BCD"
"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE2AC4-C";"IV VII";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Merluccius merluccius";"Merluccius merluccius";"HKE2AC4-C"
"North Atlantic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE8C3411";"VIIIc, IXa";"27_8_C,27_9_A";"VIIIc), IX, X, COPACE 34.1.1 (1), internatina waters of XII and XIV";"";"Merluccius merluccius";"Merluccius merluccius";"HKE8C3411"
"Mediterranean and Black Sea";"Hake";"Merluccius merluccius";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Merluccius merluccius";"Merluccius merluccius";"No TAC"
"North Atlantic";"Hake";"Merluccius merluccius";"ICES";NA;"HKE8ABDE,HKE571214";"IIIa, IV, VI, VII, VIIIab";"27_3_A,27_4,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B";"VIIIabde, Vb (1), Vi, VII, XII, XIV";"";"Merluccius merluccius";"Merluccius merluccius";"HKE8ABDE,HKE571214"
"Other regions";"Benguela hake";"Merluccius polli";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Merluccius polli";"Merluccius polli";"No TAC"
"Other regions";"Senegalese hake";"Merluccius senegalensis";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Merluccius senegalensis";"Merluccius senegalensis";"No TAC"
"Other regions";"Hake";"Merluccius spp";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Merluccius spp";"Merluccius spp";"No TAC"
"Other regions";"Other hake";"Merluccius spp";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Merluccius spp";"Merluccius spp";"No TAC"
"North Atlantic";"Wedge sole";"Microchirus variegatus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Microchirus variegatus";"Microchirus variegatus";"No TAC"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB1X14";"IIIa";"27_3_A";"";"";"Micromesistius poutassou";"Micromesistius poutassou";"WHB1X14"
"North Atlantic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB1X14,WHB24AXF";"I-IX, XII, XIV";"27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_12,27_14";"ICES I-II, III, IV, V, VII, VIIIabde, XII and XIV (EC and international waters)";"";"Micromesistius poutassou";"Micromesistius poutassou";"WHB1X14"
"Mediterranean and Black Sea";"Blue whiting";"Micromesistius poutassou";"GFCM";NA;"No TAC";"1.1, 3.1";"1.1, 3.1";"";"";"Micromesistius poutassou";"Micromesistius poutassou";"No TAC"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB1X14";"I-II";"27_1,27_2";"";"";"Micromesistius poutassou";"Micromesistius poutassou";"WHB1X14"
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";NA;"WHB1X14";"IV, VIId";"27_4,27_7_D";"";"";"Micromesistius poutassou";"Micromesistius poutassou";"WHB1X14"
"North Atlantic";"Lemon sole";"Microstomus kitt";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Microstomus kitt";"Microstomus kitt";"No TAC"
"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";NA;"L/W2AC4-C,LEM2AC4-C";"IV, VIId";"27_4,27_7_D";"EC waters of IIa) and IV";"";"Microstomus kitt";"Microstomus kitt";"LEM2AC4-C"
"Other regions";"Sunfish";"Mola mola";"WCPFC";NA;"No TAC";"West Central Pacific Ocean";"71";"";"";"Mola mola";"Mola mola";"No TAC"
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI24-";"IV";"27_4";"EU and international waters of II and IV";"";"Molva dypterygia";"Molva dypterygia";"BLI24-"
"North Atlantic";"Blue ling";"Molva dypterygia";"ICES";NA;"BLI5B67-";"all areas excluding X";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_12,27_14";"EU waters of Iia, IV, Vb, VI and VII";"";"Molva dypterygia";"Molva dypterygia";"BLI5B67-"
"North Atlantic";"Spanish ling";"Molva macrophthalma";"ICES";NA;"No TAC";"X";"27_10";"";"";"Molva macrophthalma";"Molva macrophthalma";"No TAC"
"North Atlantic";"Ling";"Molva molva";"ICES";NA;"LIN6X14.";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"VI, VII, VIII, IX, X, XII, XIV (1)(2)";"";"Molva molva";"Molva molva";"LIN6X14."
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";NA;"LIN04-C.,LIN04-N.";"IV";"27_4";"EU waters of IV";"";"Molva molva";"Molva molva";"LIN04-C."
"Other regions";"Mullets";"Mugil spp";"WECAFC";NA;"No TAC";"Guadeloupe and Martinique";"31";"";"";"Mugil spp";"Mugil spp";"No TAC"
"Mediterranean and Black Sea";"Grey mullets";"Mugilidae";"GFCM";NA;"No TAC";"1.3, 2.1, 2.2, 3.1";"1.3, 2.1, 2.2, 3.1";"";"";"Mugilidae";"Mugilidae";"No TAC"
"Mediterranean and Black Sea";"Red mullet";"Mullus barbatus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Mullus barbatus";"Mullus barbatus";"No TAC"
"Mediterranean and Black Sea";"Red mullet";"Mullus barbatus";"GFCM";NA;"No TAC";"Black Sea GSA 29";"Black Sea GSA 29";"";"";"Mullus barbatus";"Mullus barbatus";"No TAC"
"North Sea and Eastern Arctic";"Red mullet";"Mullus barbatus";"ICES";NA;"No TAC";"IV, VIId";"27_4,27_7_D";"";"";"Mullus barbatus";"Mullus barbatus";"No TAC"
"Mediterranean and Black Sea";"Striped red mullet";"Mullus surmuletus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Mullus surmuletus";"Mullus surmuletus";"No TAC"
"North Atlantic";"Striped red mullet";"Mullus surmuletus";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Mullus surmuletus";"Mullus surmuletus";"No TAC"
"North Sea and Eastern Arctic";"Striped red mullet";"Mullus surmuletus";"ICES";NA;"No TAC";"IV, VIId";"27_4,27_7_D";"";"";"Mullus surmuletus";"Mullus surmuletus";"No TAC"
"North Sea and Eastern Arctic";"Starry smooth-hound";"Mustelus asterias";"ICES";NA;"No TAC";"all areas";"27_4,27_7_D";"";"";"Mustelus asterias";"Mustelus asterias";"No TAC"
"Mediterranean and Black Sea";"Starry smooth-hound";"Mustelus asterias";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Mustelus asterias";"Mustelus asterias";"No TAC"
"North Atlantic";"Starry smooth-hound";"Mustelus asterias";"ICES";NA;"No TAC";"VI, VII, VIII, IX";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K";"";"";"Mustelus asterias";"Mustelus asterias";"No TAC"
"North Atlantic";"Smooth-hound";"Mustelus mustelus";"ICES";NA;"No TAC";"VI, VII, VIII, IX";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K";"";"";"Mustelus mustelus";"Mustelus mustelus";"No TAC"
"Mediterranean and Black Sea";"Smooth-hound";"Mustelus mustelus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Mustelus mustelus";"Mustelus mustelus";"No TAC"
"North Atlantic";"Blackspotted smooth-hound";"Mustelus punctulatus";"ICES";NA;"No TAC";"VI, VII, VIII, IX";"27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_9,27_7_K";"";"";"Mustelus punctulatus";"Mustelus punctulatus";"No TAC"
"Mediterranean and Black Sea";"Smooth-hounds nei";"Mustelus spp";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Mustelus spp";"Mustelus spp";"No TAC"
"North Atlantic";"Common eagle ray";"Myliobatis aquila";"ICES";NA;"No TAC";"all areas";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14";"";"";"Myliobatis aquila";"Myliobatis aquila";"No TAC"
"Mediterranean and Black Sea";"Common eagle ray";"Myliobatis aquila";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Myliobatis aquila";"Myliobatis aquila";"No TAC"
"Other regions";"";"Neocyttus romboidales";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Neocyttus romboidales";"Neocyttus romboidales";"No TAC"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP5BC6.";"VI Fuctional unit 12";"nep-12";"Vb) (1), VI";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP5BC6."
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP08C.";"VIII,IX Functional unit 25,31";"27_8_C";"ICES division VIIIc - Bay of Biscay - South";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP08C."
"Mediterranean and Black Sea";"Norway lobster";"Nephrops norvegicus";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Nephrops norvegicus";"Nephrops norvegicus";"No TAC"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP5BC6.";"VI Fuctional unit 13";"nep-13";"Vb) (1), VI";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP5BC6."
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 34";"nep-34";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 22";"nep-22";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 9";"nep-9";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 14";"nep-14";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 10";"nep-10";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C,NEP-04-N.";"functional units 33 (TAC IIa, VI)";"27_4_B";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP3A/BCD,NEP03A.";"Functional unit 3-4";"27_3_A";"IIIa) and EU waters of IIIbcd";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP3A/BCD"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP8ABDE.";"VIII,IX Functional unit 23,24";"27_8_A,27_8_B";"VIIIabde";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP8ABDE."
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 20-21 (TAC VII)";"27_7_H,27_7_G";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 15";"nep-15";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 6";"nep-6";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP5BC6.";"VI Fuctional unit 11";"nep-11";"Vb) (1), VI";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP5BC6."
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 7";"nep-7";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 17";"nep-17";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 19 (TAC VII)";"27_7_G,27_7_J";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 8";"nep-8";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP07.";"VII Functional unit 18 (TAC VII)";"27_7_B";"VII";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP07."
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP*9U267";"VIIIk IX Functional unit 26-27, 28-29, 30";"27_9_A";"Functional Units 26 and 27 of ICES division IXa";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP*9U267"
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP2AC4-C";"functional units 32 (TAC IIa, IV)";"27_4_A";"EC waters of IIa) and IV";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP2AC4-C"
"North Atlantic";"Norway lobster";"Nephrops norvegicus";"ICES";NA;"NEP*07U16";"VII Functional unit 16 (TAC FU16)";"27_7_C,27_C_K";"Porcupine Bank - Unit 16";"";"Nephrops norvegicus";"Nephrops norvegicus";"NEP*07U16"
"Other regions";"Orange bellowfish";"Notopogon fernandezianus";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Notopogon fernandezianus";"Notopogon fernandezianus";"No TAC"
"Other regions";"Octopus and squids";"Octopodidae and Loliginidae";"SEAFO";NA;"No TAC";"South-East Atlantic";"47";"";"";"Octopodidae and Loliginidae";"Octopodidae and Loliginidae";"No TAC"
"North Atlantic";"Common octopus";"Octopus vulgaris";"ICES";NA;"No TAC";"VIIIc, IXa";"27_8_C,27_9_A";"";"";"Octopus vulgaris";"Octopus vulgaris";"No TAC"
"North Atlantic";"Common octopus";"Octopus vulgaris";"ICES";NA;"No TAC";"all areas excluding VIIIc, IXa";"27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_B,27_10,27_12,27_14";"";"";"Octopus vulgaris";"Octopus vulgaris";"No TAC"
"Other regions";"Common octopus";"Octopus vulgaris";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Octopus vulgaris";"Octopus vulgaris";"No TAC"
"Mediterranean and Black Sea";"Common octopus";"Octopus vulgaris";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Octopus vulgaris";"Octopus vulgaris";"No TAC"
"Other regions";"Plain bonito";"Orcynopsis unicolor";"ICCAT";NA;"No TAC";"Atlantic Ocean and adjacent seas";"21,31,27,34,37";"";"";"Orcynopsis unicolor";"Orcynopsis unicolor";"No TAC"
"Mediterranean and Black Sea";"Angular roughshark";"Oxynotus centrina";"GFCM";NA;"No TAC";"all areas in the Med";"all areas in the Med";"";"";"Oxynotus centrina";"Oxynotus centrina";"No TAC"
"Other regions";"axillary sea bream";"Pagellus acarne";"CECAF";NA;"No TAC";"34.1.1";"34_1_1";"";"";"Pagellus acarne";"Pagellus acarne";"No TAC"
"Other regions";"Red pandora";"Pagellus bellottii";"CECAF";NA;"No TAC";"34.1.1,34.1.3,34.3.1,34.3.3-6";"34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6";"";"";"Pagellus bellottii";"Pagellus bellottii";"No TAC"
"North Atlantic";"Blackspot sea bream";"Pagellus bogaraveo";"ICES";NA;"SBR09-,SBR10-";"IXa, X";"27_9_A,27_10";"";"";"Pagellus bogaraveo";"Pagellus bogaraveo";"SBR09-,SBR10-"
